
Start val:
------------办------------- => 办                   , gt: 办                   
------------扒------------- => 扒                   , gt: 扒                   
--------------------扔扔---- => 扔                   , gt: 扔                   
----------------e--------- => e                   , gt: e                   
-----------------u-------- => u                   , gt: u                   
---------------w---------- => w                   , gt: w                   
-----g-------------------- => g                   , gt: g                   
----手--------------------- => 手                   , gt: 手                   
-----------------刊-------- => 刊                   , gt: 刊                   
-------------------闪------ => 闪                   , gt: 闪                   
----------------i--------- => i                   , gt: i                   
-------l------------------ => l                   , gt: l                   
--------------w----------- => w                   , gt: w                   
--------------------止----- => 止                   , gt: 止                   
--------日----------------- => 日                   , gt: 日                   
---------------已---------- => 已                   , gt: 已                   
-------------------9------ => 9                   , gt: 9                   
-------------生------------ => 生                   , gt: 生                   
-----------------g-------- => g                   , gt: g                   
------穴------------------- => 穴                   , gt: 穴                   
----------------厂--------- => 厂                   , gt: 厂                   
----cc-------------------- => c                   , gt: c                   
--------------------d----- => d                   , gt: d                   
--------------------予----- => 予                   , gt: 予                   
-------77----------------- => 7                   , gt: 7                   
-----------叉-------------- => 叉                   , gt: 叉                   
-------------------夫------ => 夫                   , gt: 夫                   
--------11---------------- => 1                   , gt: 1                   
------9------------------- => 9                   , gt: 9                   
-------k------------------ => k                   , gt: k                   
------------夕夕------------ => 夕                   , gt: 夕                   
---------1---------------- => 1                   , gt: 1                   
-------------------井------ => 井                   , gt: 井                   
-----宁-------------------- => 宁                   , gt: 宁                   
-----专-------------------- => 专                   , gt: 专                   
----------十--------------- => 十                   , gt: 十                   
------------------另------- => 另                   , gt: 另                   
------------午------------- => 午                   , gt: 午                   
------------qq------------ => q                   , gt: q                   
-------------扒------------ => 扒                   , gt: 扒                   
----------中中-------------- => 中                   , gt: 中                   
------------力------------- => 力                   , gt: 力                   
--------------oo---------- => o                   , gt: o                   
----------------qq-------- => q                   , gt: q                   
----------------1--------- => 1                   , gt: 1                   
--------王----------------- => 王                   , gt: 王                   
---n---------------------- => n                   , gt: n                   
-------------------刃------ => 刃                   , gt: 刃                   
----------长长-------------- => 长                   , gt: 长                   
----9--------------------- => 9                   , gt: 9                   
----------------o--------- => o                   , gt: o                   
--------央----------------- => 央                   , gt: 史                   
-------------------0------ => 0                   , gt: 0                   
------------------欠欠------ => 欠                   , gt: 欠                   
--------小----------------- => 小                   , gt: 小                   
------------------白------- => 白                   , gt: 白                   
-------------------tt----- => t                   , gt: t                   
-------2------------------ => 2                   , gt: 2                   
-------------00----------- => 0                   , gt: 0                   
-------------电------------ => 电                   , gt: 电                   
-------------------白白----- => 白                   , gt: 白                   
------丑------------------- => 丑                   , gt: 丑                   
----也--------------------- => 也                   , gt: 也                   
-----------木-------------- => 木                   , gt: 木                   
------------------令------- => 令                   , gt: 令                   
-----------w-------------- => w                   , gt: w                   
---------------------d---- => d                   , gt: d                   
--------x----------------- => x                   , gt: x                   
--------------------户----- => 户                   , gt: 户                   
-------ww----------------- => w                   , gt: w                   
---------p---------------- => p                   , gt: p                   
--------0----------------- => 0                   , gt: 0                   
--------5----------------- => 5                   , gt: 5                   
-------------正------------ => 正                   , gt: 正                   
---------------月---------- => 月                   , gt: 月                   
----------仓--------------- => 仓                   , gt: 仓                   
----------o--------------- => o                   , gt: o                   
-----------------a-------- => a                   , gt: a                   
--------------丙丙---------- => 丙                   , gt: 丙                   
---------------半---------- => 半                   , gt: 半                   
------------予------------- => 予                   , gt: 予                   
--------------叹----------- => 叹                   , gt: 叹                   
-------d------------------ => d                   , gt: d                   
----内内-------------------- => 内                   , gt: 内                   
-----们-------------------- => 们                   , gt: 们                   
-------i------------------ => i                   , gt: i                   
----------乏--------------- => 乏                   , gt: 乏                   
---------------------气气--- => 气                   , gt: 气                   
-------------长------------ => 长                   , gt: 长                   
------v------------------- => v                   , gt: v                   
----------------88-------- => 8                   , gt: 8                   
---------------a---------- => a                   , gt: a                   
------------------亏------- => 亏                   , gt: 亏                   
-------------巧------------ => 巧                   , gt: 巧                   
-----土-------------------- => 土                   , gt: 土                   
-------------印------------ => 印                   , gt: 印                   
--------------七七---------- => 七                   , gt: 七                   
---------------------刀---- => 刀                   , gt: 刀                   
---------丑---------------- => 丑                   , gt: 丑                   
-------------------小------ => 小                   , gt: 小                   
-------v------------------ => v                   , gt: v                   
----------u--------------- => u                   , gt: u                   
----------正正-------------- => 正                   , gt: 正                   
-------------h------------ => h                   , gt: h                   
-----8-------------------- => 8                   , gt: 8                   
-----------p-------------- => p                   , gt: p                   
-----勿-------------------- => 勿                   , gt: 勿                   
-----------hh------------- => h                   , gt: h                   
----------------9--------- => 9                   , gt: 9                   
------------------电------- => 电                   , gt: 电                   
----乡--------------------- => 乡                   , gt: 乡                   
----------艺艺-------------- => 艺                   , gt: 艺                   
-------------厂------------ => 厂                   , gt: 厂                   
------------乎------------- => 乎                   , gt: 乎                   
---------------------ww--- => w                   , gt: w                   
--------仓----------------- => 仓                   , gt: 仓                   
---------玉---------------- => 玉                   , gt: 玉                   
---ff--------------------- => f                   , gt: f                   
-------8------------------ => 8                   , gt: 8                   
----6--------------------- => 6                   , gt: 6                   
---ss--------------------- => s                   , gt: s                   
---------------0---------- => 0                   , gt: 0                   
----------------扑--------- => 扑                   , gt: 扑                   
--------匹----------------- => 匹                   , gt: 匹                   
-----仍-------------------- => 仍                   , gt: 仍                   
---------------00--------- => 0                   , gt: 0                   
----队队-------------------- => 队                   , gt: 队                   
---------------2---------- => 2                   , gt: 2                   
-------------------兄------ => 兄                   , gt: 兄                   
------r------------------- => r                   , gt: r                   
-----仙-------------------- => 仙                   , gt: 仙                   
-----------------灭-------- => 灭                   , gt: 灭                   
--------------二----------- => 二                   , gt: 二                   
----------------------卜--- => 卜                   , gt: 卜                   
----------------口--------- => 口                   , gt: 口                   
--------他----------------- => 他                   , gt: 他                   
---------认---------------- => 认                   , gt: 认                   
----ss-------------------- => s                   , gt: s                   
-------------巴------------ => 巴                   , gt: 巴                   
-------7------------------ => 7                   , gt: 7                   
-------------------正------ => 正                   , gt: 正                   
--------兄----------------- => 兄                   , gt: 兄                   
-------2------------------ => 2                   , gt: 2                   
--------------------w----- => w                   , gt: w                   
----------------------由--- => 由                   , gt: 由                   
-------------9------------ => 9                   , gt: 9                   
-----------b-------------- => b                   , gt: b                   
---------------------兰---- => 兰                   , gt: 兰                   
-------n------------------ => n                   , gt: n                   
---------y---------------- => y                   , gt: y                   
--------鸟----------------- => 鸟                   , gt: 鸟                   
-----------义-------------- => 义                   , gt: 义                   
---允允--------------------- => 允                   , gt: 允                   
-------g------------------ => g                   , gt: g                   
--------口----------------- => 口                   , gt: 口                   
-------------币币----------- => 币                   , gt: 币                   
----------------i--------- => i                   , gt: i                   
-----------z-------------- => z                   , gt: z                   
-------5------------------ => 5                   , gt: 5                   
-----w-------------------- => w                   , gt: w                   
------业------------------- => 业                   , gt: 业                   
--------y----------------- => y                   , gt: y                   
---c---------------------- => c                   , gt: c                   
--------------v----------- => v                   , gt: v                   
------i------------------- => i                   , gt: i                   
-------------女------------ => 女                   , gt: 女                   
-------------------qq----- => q                   , gt: q                   
-----l-------------------- => l                   , gt: l                   
---------------------专---- => 专                   , gt: 专                   
------------------让------- => 让                   , gt: 让                   
--------儿儿---------------- => 儿                   , gt: 儿                   
-------写------------------ => 写                   , gt: 写                   
----11-------------------- => 1                   , gt: 1                   
------------------三三------ => 三                   , gt: 三                   
--------------h----------- => h                   , gt: h                   
---88--------------------- => 8                   , gt: 8                   
---------------ww--------- => w                   , gt: w                   
--------------------o----- => o                   , gt: o                   
-------------nn----------- => n                   , gt: n                   
---------------让---------- => 让                   , gt: 让                   
----------平--------------- => 平                   , gt: 平                   
--------什什---------------- => 什                   , gt: 什                   
-------另------------------ => 另                   , gt: 另                   
---i---------------------- => i                   , gt: i                   
--------------------f----- => f                   , gt: f                   
--------------让----------- => 让                   , gt: 让                   
---------------r---------- => r                   , gt: r                   
-----------------t-------- => t                   , gt: t                   
----i--------------------- => i                   , gt: i                   
---------------内内--------- => 内                   , gt: 内                   
-------------仁仁----------- => 仁                   , gt: 仁                   
------------q------------- => q                   , gt: q                   
--------------ss---------- => s                   , gt: s                   
---------仪---------------- => 仪                   , gt: 仪                   
-------tt----------------- => t                   , gt: t                   
---44--------------------- => 4                   , gt: 4                   
----介--------------------- => 介                   , gt: 介                   
--------------下下---------- => 下                   , gt: 下                   
---------------------川---- => 川                   , gt: 川                   
----------r--------------- => r                   , gt: r                   
--------------双----------- => 双                   , gt: 双                   
----v--------------------- => v                   , gt: v                   
-----------l-------------- => l                   , gt: l                   
--------------------子----- => 子                   , gt: 子                   
--------------------旧旧---- => 旧                   , gt: 旧                   
-------以以----------------- => 以                   , gt: 以                   
-------------------i------ => i                   , gt: i                   
----------jj-------------- => j                   , gt: j                   
------------o------------- => o                   , gt: o                   
--------------------刀----- => 刀                   , gt: 刀                   
--ii---------------------- => i                   , gt: i                   
----------c--------------- => c                   , gt: c                   
----------------尺--------- => 尺                   , gt: 尺                   
--------厅----------------- => 厅                   , gt: 厅                   
-----干-------------------- => 干                   , gt: 干                   
--------------------氏氏---- => 氏                   , gt: 氏                   
--------氏氏氏--------------- => 氏                   , gt: 氏                   
---zz--------------------- => z                   , gt: z                   
------------------n------- => n                   , gt: n                   
-----------------勺-------- => 勺                   , gt: 勺                   
---------------------飞---- => 飞                   , gt: 飞                   
----------o--------------- => o                   , gt: o                   
------------u------------- => u                   , gt: u                   
-----------------刀-------- => 刀                   , gt: 刀                   
---------yy--------------- => y                   , gt: y                   
----------------e--------- => e                   , gt: e                   
----------士--------------- => 士                   , gt: 士                   
--------------------为为---- => 为                   , gt: 为                   
----------------d--------- => d                   , gt: d                   
---------------土---------- => 土                   , gt: 土                   
-------------乃------------ => 乃                   , gt: 乃                   
--------------扒----------- => 扒                   , gt: 扒                   
-------扔扔----------------- => 扔                   , gt: 扔                   
---------------v---------- => v                   , gt: v                   
----仁--------------------- => 仁                   , gt: 仁                   
---------------------工---- => 工                   , gt: 工                   
---ff--------------------- => f                   , gt: f                   
---j---------------------- => j                   , gt: j                   
----左左-------------------- => 左                   , gt: 左                   
-----tt------------------- => t                   , gt: t                   
----------------------d--- => d                   , gt: d                   
--------xx---------------- => x                   , gt: x                   
------------n------------- => n                   , gt: n                   
-----i-------------------- => i                   , gt: i                   
--------------------亿----- => 亿                   , gt: 亿                   
------------------丁------- => 丁                   , gt: 丁                   
---7---------------------- => 7                   , gt: 7                   
------------------女------- => 女                   , gt: 女                   
---00--------------------- => 0                   , gt: 0                   
-------6------------------ => 6                   , gt: 6                   
-------------------另------ => 另                   , gt: 另                   
-----------------午-------- => 午                   , gt: 午                   
---------------他---------- => 他                   , gt: 他                   
--------0----------------- => 0                   , gt: 0                   
-------------------太------ => 太                   , gt: 太                   
---ll--------------------- => l                   , gt: l                   
-------------------mm----- => m                   , gt: m                   
---c---------------------- => c                   , gt: c                   
----计--------------------- => 计                   , gt: 计                   
---------------pp--------- => p                   , gt: p                   
--------------尤----------- => 尤                   , gt: 尤                   
--------------5----------- => 5                   , gt: 5                   
-----双-------------------- => 双                   , gt: 双                   
-------------------上------ => 上                   , gt: 上                   
-----------------xx------- => x                   , gt: x                   
--------与----------------- => 与                   , gt: 与                   
-------------mm----------- => m                   , gt: m                   
--------------------8----- => 8                   , gt: 8                   
---t---------------------- => t                   , gt: t                   
------22------------------ => 2                   , gt: 2                   
-------------禾禾----------- => 禾                   , gt: 禾                   
-------------9------------ => 9                   , gt: 9                   
-----------禾-------------- => 禾                   , gt: 禾                   
-----仍-------------------- => 仍                   , gt: 仍                   
----------卜--------------- => 卜                   , gt: 卜                   
-----------------引-------- => 引                   , gt: 引                   
-------------l------------ => l                   , gt: l                   
----------------ff-------- => f                   , gt: f                   
--------------------k----- => k                   , gt: k                   
---------子子--------------- => 子                   , gt: 子                   
---------p---------------- => p                   , gt: p                   
---------------------去去--- => 去                   , gt: 去                   
----术术-------------------- => 术                   , gt: 术                   
---------------丸---------- => 丸                   , gt: 丸                   
-----外-------------------- => 外                   , gt: 外                   
--------------------平----- => 平                   , gt: 平                   
---------------牛---------- => 牛                   , gt: 牛                   
---444-------------------- => 4                   , gt: 4                   
----b--------------------- => b                   , gt: b                   
-------友友----------------- => 友                   , gt: 友                   
-----万-------------------- => 万                   , gt: 万                   
-----尸-------------------- => 尸                   , gt: 尸                   
---------------------丙---- => 丙                   , gt: 丙                   
-----------------乌-------- => 乌                   , gt: 乌                   
------ll------------------ => l                   , gt: l                   
-------------丹------------ => 丹                   , gt: 丹                   
----------匹--------------- => 匹                   , gt: 匹                   
----5--------------------- => 5                   , gt: 5                   
-----------------公-------- => 公                   , gt: 公                   
-----------n-------------- => n                   , gt: n                   
----k--------------------- => k                   , gt: k                   
-----------央-------------- => 央                   , gt: 央                   
------r------------------- => r                   , gt: r                   
-----------仓-------------- => 仓                   , gt: 仓                   
---------------y---------- => y                   , gt: y                   
-------ll----------------- => l                   , gt: l                   
-----------------只-------- => 只                   , gt: 只                   
-------------------务务----- => 务                   , gt: 务                   
--------------下----------- => 下                   , gt: 下                   
--------------i----------- => i                   , gt: i                   
-----士-------------------- => 士                   , gt: 士                   
--------------写----------- => 写                   , gt: 写                   
------------们------------- => 们                   , gt: 们                   
-----丘-------------------- => 丘                   , gt: 丘                   
---ee--------------------- => e                   , gt: e                   
------------------央------- => 央                   , gt: 央                   
----------未--------------- => 未                   , gt: 未                   
------------------失------- => 失                   , gt: 失                   
---rr--------------------- => r                   , gt: r                   
------------半------------- => 半                   , gt: 半                   
-----------凡-------------- => 凡                   , gt: 凡                   
--------田----------------- => 田                   , gt: 田                   
---------仗仗--------------- => 仗                   , gt: 仗                   
--------日----------------- => 日                   , gt: 日                   
--------------yy---------- => y                   , gt: y                   
-----------------n-------- => n                   , gt: n                   
----------------8--------- => 8                   , gt: 8                   
---------木---------------- => 木                   , gt: 木                   
---------------忆---------- => 忆                   , gt: 忆                   
----r--------------------- => r                   , gt: r                   
---------------------小---- => 小                   , gt: 小                   
---------------么---------- => 么                   , gt: 公                   
----------------------k--- => k                   , gt: k                   
---------j---------------- => j                   , gt: j                   
----x--------------------- => x                   , gt: x                   
----xx-------------------- => x                   , gt: x                   
--------l----------------- => l                   , gt: l                   
-----------龙-------------- => 龙                   , gt: 龙                   
-------f------------------ => f                   , gt: f                   
-------也------------------ => 也                   , gt: 也                   
------------i------------- => i                   , gt: i                   
-----------------匆-------- => 匆                   , gt: 匆                   
---------凤---------------- => 凤                   , gt: 凤                   
------------------月------- => 月                   , gt: 月                   
----------------55-------- => 5                   , gt: 5                   
---------------u---------- => u                   , gt: u                   
--------业----------------- => 业                   , gt: 业                   
------世------------------- => 世                   , gt: 世                   
----乡--------------------- => 乡                   , gt: 乡                   
----------------币币-------- => 币                   , gt: 币                   
-----------3-------------- => 3                   , gt: 3                   
------------日------------- => 日                   , gt: 日                   
-----------亿亿------------- => 亿                   , gt: 亿                   
----习习-------------------- => 习                   , gt: 习                   
-------用------------------ => 用                   , gt: 用                   
-------------下------------ => 下                   , gt: 下                   
------2------------------- => 2                   , gt: 2                   
-----------44------------- => 4                   , gt: 4                   
-----------------l-------- => l                   , gt: l                   
-----------厂-------------- => 厂                   , gt: 厂                   
----巴--------------------- => 巴                   , gt: 巴                   
----------了--------------- => 了                   , gt: 了                   
--------与与---------------- => 与                   , gt: 与                   
-----------乏-------------- => 乏                   , gt: 乏                   
---------------凤---------- => 凤                   , gt: 凤                   
----------------文--------- => 文                   , gt: 文                   
----匹--------------------- => 匹                   , gt: 匹                   
-----------切切------------- => 切                   , gt: 切                   
---------------劝---------- => 劝                   , gt: 劝                   
----------占--------------- => 占                   , gt: 占                   
----------------------3--- => 3                   , gt: 3                   
-------55----------------- => 5                   , gt: 5                   
--------------叶叶---------- => 叶                   , gt: 叶                   
-------ss----------------- => s                   , gt: s                   
--------------------毛----- => 毛                   , gt: 毛                   
----丛--------------------- => 丛                   , gt: 丛                   
-------------------仆------ => 仆                   , gt: 仆                   
--------------------p----- => p                   , gt: p                   
-------帅帅----------------- => 帅                   , gt: 帅                   
------------------轧------- => 轧                   , gt: 轧                   
----7--------------------- => 7                   , gt: 7                   
--------------------勾----- => 勾                   , gt: 勾                   
---------------2---------- => 2                   , gt: 2                   
-------------q------------ => q                   , gt: q                   
-----------勺-------------- => 勺                   , gt: 勺                   
--------------------灭----- => 灭                   , gt: 灭                   
-----------节-------------- => 节                   , gt: 节                   
------------------马------- => 马                   , gt: 马                   
----------水--------------- => 水                   , gt: 水                   
------------y------------- => y                   , gt: y                   
----------tt-------------- => t                   , gt: t                   
-------------叉------------ => 叉                   , gt: 叉                   
-----十十------------------- => 十                   , gt: 十                   
--------刃----------------- => 刃                   , gt: 刃                   
-----------------8-------- => 8                   , gt: 8                   
-----------正-------------- => 正                   , gt: 正                   
--------------22---------- => 2                   , gt: 2                   
---------------------巾---- => 巾                   , gt: 巾                   
--------------扒扒---------- => 扒                   , gt: 扒                   
----------------------丰--- => 丰                   , gt: 丰                   
-------------k------------ => k                   , gt: k                   
---------77--------------- => 7                   , gt: 7                   
-----子-------------------- => 子                   , gt: 子                   
-------00----------------- => 0                   , gt: 0                   
----------------六六-------- => 六                   , gt: 六                   
-----------k-------------- => k                   , gt: k                   
--------------------了----- => 了                   , gt: 了                   
---------叶叶--------------- => 叶                   , gt: 叶                   
--------------o----------- => o                   , gt: o                   
-------------------仪仪----- => 仪                   , gt: 仪                   
-----------------l-------- => l                   , gt: l                   
-------------8------------ => 8                   , gt: 8                   
-------44----------------- => 4                   , gt: 4                   
----------------仇--------- => 仇                   , gt: 仇                   
---------------88--------- => 8                   , gt: 8                   
-------t------------------ => t                   , gt: t                   
----------7--------------- => 7                   , gt: 7                   
-------x------------------ => x                   , gt: x                   
----a--------------------- => a                   , gt: a                   
-----------------1-------- => 1                   , gt: 1                   
-------------i------------ => i                   , gt: i                   
------------头------------- => 头                   , gt: 头                   
----------------jj-------- => j                   , gt: j                   
-----------宁宁------------- => 宁                   , gt: 宁                   
-------------古------------ => 古                   , gt: 古                   
-------------------旧旧----- => 旧                   , gt: 旧                   
----2--------------------- => 2                   , gt: 2                   
---y---------------------- => y                   , gt: y                   
----叹叹-------------------- => 叹                   , gt: 叹                   
----r--------------------- => r                   , gt: r                   
--------------z----------- => z                   , gt: z                   
--------------------片----- => 片                   , gt: 片                   
---------什什--------------- => 什                   , gt: 什                   
-----------n-------------- => n                   , gt: n                   
---------------uu--------- => u                   , gt: u                   
----------v--------------- => v                   , gt: v                   
------------示------------- => 示                   , gt: 示                   
-------------------了------ => 了                   , gt: 了                   
-----刃-------------------- => 刃                   , gt: 刃                   
------------------鸟------- => 鸟                   , gt: 鸟                   
------------9------------- => 9                   , gt: 9                   
-----兰-------------------- => 兰                   , gt: 兰                   
---------------------代---- => 代                   , gt: 代                   
--------------牛----------- => 牛                   , gt: 牛                   
--------------r----------- => r                   , gt: r                   
--------s----------------- => s                   , gt: s                   
----l--------------------- => l                   , gt: l                   
---------a---------------- => a                   , gt: a                   
---------久久--------------- => 久                   , gt: 久                   
-----------------扎-------- => 扎                   , gt: 扎                   
---------------------订---- => 订                   , gt: 订                   
---22--------------------- => 2                   , gt: 2                   
-------i------------------ => i                   , gt: i                   
--------------3----------- => 3                   , gt: 3                   
------力------------------- => 力                   , gt: 力                   
----------------乡乡-------- => 乡                   , gt: 乡                   
----3--------------------- => 3                   , gt: 3                   
-------市------------------ => 市                   , gt: 市                   
----------q--------------- => q                   , gt: q                   
---------------气---------- => 气                   , gt: 气                   
-------------布------------ => 布                   , gt: 布                   
-------a------------------ => a                   , gt: a                   
-------------王------------ => 王                   , gt: 王                   
------------------刃------- => 刃                   , gt: 刃                   
------------士------------- => 士                   , gt: 士                   
-----------------元-------- => 元                   , gt: 元                   
---------------弓---------- => 弓                   , gt: 弓                   
---uu--------------------- => u                   , gt: u                   
-----------i-------------- => i                   , gt: i                   
----训--------------------- => 训                   , gt: 训                   
----让让-------------------- => 让                   , gt: 让                   
--------------------h----- => h                   , gt: h                   
----------------t--------- => t                   , gt: t                   
--------------s----------- => s                   , gt: s                   
-----支-------------------- => 支                   , gt: 支                   
----斥斥-------------------- => 斥                   , gt: 斥                   
-----------------丘-------- => 丘                   , gt: 丘                   
-------业业----------------- => 业                   , gt: 业                   
-----夫-------------------- => 夫                   , gt: 夫                   
---------------g---------- => g                   , gt: g                   
-------l------------------ => l                   , gt: l                   
-----------8-------------- => 8                   , gt: 8                   
----------------i--------- => i                   , gt: i                   
--------------乃----------- => 乃                   , gt: 乃                   
-----------------片-------- => 片                   , gt: 片                   
------------入------------- => 入                   , gt: 入                   
--------------瓜----------- => 瓜                   , gt: 瓜                   
---------------玉---------- => 玉                   , gt: 玉                   
-------------yy----------- => y                   , gt: y                   
---------------------夕---- => 夕                   , gt: 夕                   
------------------汁汁------ => 汁                   , gt: 汁                   
-----------------久-------- => 久                   , gt: 久                   
----及--------------------- => 及                   , gt: 及                   
---------------b---------- => b                   , gt: b                   
-------------------电------ => 电                   , gt: 电                   
---------互互--------------- => 互                   , gt: 互                   
------------------六------- => 六                   , gt: 六                   
-------------尺------------ => 尺                   , gt: 尺                   
-------k------------------ => k                   , gt: k                   
-------------轧------------ => 轧                   , gt: 轧                   
-----------------刀-------- => 刀                   , gt: 刀                   
--------叉叉---------------- => 叉                   , gt: 叉                   
----q--------------------- => q                   , gt: q                   
--------g----------------- => g                   , gt: g                   
----------9--------------- => 9                   , gt: 9                   
---ss--------------------- => s                   , gt: s                   
----------j--------------- => j                   , gt: j                   
---------之---------------- => 之                   , gt: 之                   
----2--------------------- => 2                   , gt: 2                   
---------------xx--------- => x                   , gt: x                   
--------------------vv---- => v                   , gt: v                   
-----------乡-------------- => 乡                   , gt: 乡                   
----------士士-------------- => 士                   , gt: 士                   
--------丰----------------- => 丰                   , gt: 丰                   
---------------f---------- => f                   , gt: f                   
----d--------------------- => d                   , gt: d                   
------------正------------- => 正                   , gt: 正                   
--------m----------------- => m                   , gt: m                   
-----风-------------------- => 风                   , gt: 风                   
----------世世-------------- => 世                   , gt: 世                   
----尸--------------------- => 尸                   , gt: 厂                   
---------------------己---- => 己                   , gt: 已                   
--------------------丘----- => 丘                   , gt: 丘                   
---------------jj--------- => j                   , gt: j                   
-----------2-------------- => 2                   , gt: 2                   
----------右--------------- => 右                   , gt: 右                   
----------------tt-------- => t                   , gt: t                   
-------------zz----------- => z                   , gt: z                   
--------轧----------------- => 轧                   , gt: 轧                   
--------b----------------- => b                   , gt: b                   
----------c--------------- => c                   , gt: c                   
--------------------下----- => 下                   , gt: 下                   
----------叼--------------- => 叼                   , gt: 叼                   
-------v------------------ => v                   , gt: v                   
-----------------七-------- => 七                   , gt: 七                   
-----------------叨-------- => 叨                   , gt: 叨                   
-----b-------------------- => b                   , gt: b                   
---------------ee--------- => e                   , gt: e                   
---------------卜---------- => 卜                   , gt: 卜                   
-------------i------------ => i                   , gt: i                   
----22-------------------- => 2                   , gt: 2                   
-------------于------------ => 于                   , gt: 于                   
---------------------1---- => 1                   , gt: 1                   
-----------之之------------- => 之                   , gt: 之                   
------义------------------- => 义                   , gt: 义                   
----------l--------------- => l                   , gt: l                   
----------------------6--- => 6                   , gt: 6                   
------------------6------- => 6                   , gt: 6                   
----------k--------------- => k                   , gt: k                   
-------x------------------ => x                   , gt: x                   
-------tt----------------- => t                   , gt: t                   
----------丹--------------- => 丹                   , gt: 丹                   
--------义----------------- => 义                   , gt: 义                   
-----------术-------------- => 术                   , gt: 术                   
----------3--------------- => 3                   , gt: 3                   
-----------d-------------- => d                   , gt: d                   
---------------号号--------- => 号                   , gt: 号                   
------------------7------- => 7                   , gt: 7                   
-----------d-------------- => d                   , gt: d                   
---77--------------------- => 7                   , gt: 7                   
