,gts,preds
10284,z,z
10285,f,f
10286,允,允
10287,井,井
10288,叹,叹
10289,6,6
10290,从,从
10291,东,东
10292,6,6
10293,叫,叫
10294,勿,勿
10295,夫,夫
10296,r,r
10297,风,风
10298,9,9
10299,央,央
10300,a,a
10301,几,几
10302,n,n
10303,下,下
10304,u,u
10305,厅,厅
10306,不,不
10307,w,w
10308,5,5
10309,史,史
10310,g,g
10311,6,6
10312,长,长
10313,东,东
10314,旧,旧
10315,u,u
10316,头,头
10317,7,7
10318,计,计
10319,止,止
10320,灭,灭
10321,仓,仓
10322,世,世
10323,勺,勺
10324,亏,亏
10325,个,个
10326,礼,礼
10327,互,互
10328,计,计
10329,r,r
10330,代,代
10331,j,j
10332,六,六
10333,5,5
10334,l,l
10335,央,央
10336,4,4
10337,5,5
10338,p,p
10339,8,8
10340,q,q
10341,巨,巨
10342,仪,仪
10343,寸,寸
10344,兄,兄
10345,末,末
10346,a,a
10347,v,v
10348,广,广
10349,4,4
10350,寸,寸
10351,7,7
10352,叫,叫
10353,r,r
10354,几,几
10355,8,8
10356,a,a
10357,t,t
10358,m,m
10359,木,木
10360,丛,丛
10361,史,史
10362,巾,巾
10363,了,了
10364,w,w
10365,市,市
10366,训,训
10367,3,3
10368,申,申
10369,叹,叹
10370,q,q
10371,分,分
10372,d,d
10373,6,6
10374,q,q
10375,2,2
10376,扑,扑
10377,叉,叉
10378,4,4
10379,们,们
10380,分,分
10381,u,u
10382,e,e
10383,帅,帅
10384,孔,孔
10385,w,w
10386,付,付
10387,凤,凤
10388,3,3
10389,才,才
10390,厅,厅
10391,门,门
10392,d,d
10393,巨,巨
10394,见,见
10395,也,也
10396,册,册
10397,8,8
10398,t,t
10399,d,d
10400,占,占
10401,了,了
10402,仍,仍
10403,s,s
10404,才,才
10405,节,节
10406,写,写
10407,g,g
10408,见,见
10409,5,5
10410,兄,兄
10411,水,水
10412,v,v
10413,节,节
10414,x,x
10415,汉,汉
10416,反,反
10417,乡,乡
10418,a,a
10419,犬,犬
10420,户,户
10421,丙,丙
10422,犯,犯
10423,g,g
10424,z,z
10425,i,i
10426,c,c
10427,尸,尸
10428,h,h
10429,七,七
10430,3,3
10431,匹,匹
10432,失,失
10433,s,s
10434,反,反
10435,4,4
10436,瓦,瓦
10437,d,d
10438,9,9
10439,打,打
10440,扑,扑
10441,q,q
10442,刃,刃
10443,田,田
10444,q,q
10445,升,升
10446,t,t
10447,a,a
10448,予,予
10449,犬,犬
10450,5,5
10451,8,8
10452,x,x
10453,1,1
10454,8,8
10455,q,q
10456,门,门
10457,a,a
10458,只,只
10459,x,x
10460,包,包
10461,忆,忆
10462,2,2
10463,为,为
10464,凡,凡
10465,f,f
10466,仪,仪
10467,m,m
10468,扑,扑
10469,w,w
10470,r,r
10471,3,3
10472,石,石
10473,失,失
10474,仍,仍
10475,不,不
10476,可,可
10477,s,s
10478,扔,扔
10479,仁,仁
10480,扑,扑
10481,g,g
10482,什,什
10483,w,w
10484,三,三
10485,2,2
10486,k,k
10487,二,二
10488,叹,叹
10489,旦,旦
10490,叹,叹
10491,口,口
10492,今,今
10493,a,a
10494,久,久
10495,r,r
10496,卡,卡
10497,丁,丁
10498,仔,仔
10499,另,另
10500,z,z
10501,们,们
10502,q,q
10503,孔,孔
10504,龙,龙
10505,0,0
10506,e,e
10507,v,v
10508,刃,刃
10509,头,头
10510,9,9
10511,m,m
10512,冈,冈
10513,包,包
10514,2,2
10515,a,a
10516,m,m
10517,本,木
10518,u,u
10519,可,可
10520,r,r
10521,o,o
10522,右,右
10523,d,d
10524,v,v
10525,叉,叉
10526,月,月
10527,1,1
10528,9,9
10529,亡,亡
10530,头,头
10531,v,v
10532,q,q
10533,么,么
10534,8,8
10535,云,云
10536,z,z
10537,无,无
10538,h,h
10539,以,以
10540,乞,乞
10541,未,未
10542,e,e
10543,中,中
10544,石,石
10545,亡,亡
10546,失,失
10547,m,m
10548,爪,爪
10549,叉,又
10550,劝,劝
10551,9,9
10552,千,千
10553,w,w
10554,b,b
10555,o,o
10556,正,正
10557,市,市
10558,u,u
10559,2,2
10560,刃,刃
10561,p,p
10562,e,e
10563,9,9
10564,j,j
10565,长,长
10566,9,9
10567,亿,亿
10568,互,互
10569,互,互
10570,东,东
10571,k,k
10572,y,y
10573,双,双
10574,r,r
10575,占,占
10576,叉,叉
10577,风,风
10578,氏,氏
10579,士,士
10580,它,它
10581,己,己
10582,右,右
10583,3,3
10584,友,友
10585,o,o
10586,央,央
10587,乐,乐
10588,x,x
10589,8,8
10590,g,g
10591,l,l
10592,孔,孔
10593,劝,劝
10594,个,个
10595,p,p
10596,什,什
10597,厅,厅
10598,厅,厅
10599,4,4
10600,t,t
10601,l,l
10602,t,t
10603,开,开
10604,v,v
10605,v,v
10606,礼,礼
10607,于,于
10608,训,训
10609,3,3
10610,亏,亏
10611,b,b
10612,d,d
10613,0,0
10614,子,子
10615,了,了
10616,门,门
10617,e,e
10618,又,又
10619,子,子
10620,h,h
10621,入,入
10622,引,引
10623,2,2
10624,车,车
10625,匆,匆
10626,公,公
10627,订,订
10628,h,h
10629,古,古
10630,w,w
10631,v,v
10632,1,1
10633,归,归
10634,f,f
10635,去,去
10636,扒,扒
10637,x,x
10638,2,2
10639,d,d
10640,巾,巾
10641,玉,玉
10642,东,东
10643,d,d
10644,9,9
10645,u,u
10646,m,m
10647,乐,乐
10648,6,6
10649,见,见
10650,i,i
10651,j,j
10652,s,s
10653,功,功
10654,2,2
10655,j,j
10656,务,务
10657,m,m
10658,瓜,瓜
10659,央,央
10660,q,q
10661,t,t
10662,厂,厂
10663,专,专
10664,二,二
10665,k,k
10666,5,5
10667,叫,叫
10668,三,三
10669,水,水
10670,9,9
10671,g,g
10672,5,5
10673,x,x
10674,w,w
10675,尤,尤
10676,8,8
10677,未,未
10678,归,归
10679,b,b
10680,m,m
10681,b,b
10682,认,认
10683,瓦,瓦
10684,a,a
10685,n,n
10686,6,6
10687,c,c
10688,犯,犯
10689,5,5
10690,仙,仙
10691,广,广
10692,d,d
10693,川,川
10694,6,6
10695,生,生
10696,4,4
10697,0,0
10698,写,写
10699,勿,勿
10700,5,5
10701,i,i
10702,q,q
10703,n,n
10704,仙,仙
10705,9,9
10706,付,付
10707,i,i
10708,寸,寸
10709,t,t
10710,f,f
10711,t,t
10712,乃,乃
10713,c,c
10714,丙,丙
10715,允,允
10716,v,v
10717,什,什
10718,分,分
10719,o,o
10720,k,k
10721,击,击
10722,公,公
10723,y,y
10724,甲,甲
10725,5,5
10726,丸,丸
10727,电,电
10728,n,n
10729,千,千
10730,3,3
10731,o,o
10732,f,f
10733,片,片
10734,水,水
10735,饥,饥
10736,分,分
10737,队,队
10738,z,z
10739,勾,勾
10740,p,p
10741,叨,叨
10742,尸,尸
10743,4,4
10744,g,g
10745,子,子
10746,人,人
10747,e,e
10748,士,士
10749,b,b
10750,o,o
10751,6,6
10752,乌,乌
10753,认,认
10754,p,p
10755,凤,凤
10756,n,n
10757,m,m
10758,八,八
10759,2,2
10760,g,g
10761,子,子
10762,z,z
10763,月,月
10764,o,o
10765,仗,仗
10766,3,3
10767,写,写
10768,x,x
10769,c,c
10770,订,订
10771,开,开
10772,五,五
10773,禾,禾
10774,丈,丈
10775,m,m
10776,中,中
10777,力,力
10778,心,心
10779,6,6
10780,甘,甘
10781,生,生
10782,g,c
10783,末,末
10784,冬,冬
10785,反,反
10786,下,下
10787,古,古
10788,申,申
10789,尺,尺
10790,几,几
10791,代,代
10792,c,c
10793,叫,叫
10794,之,之
10795,d,d
10796,h,h
10797,令,令
10798,3,3
10799,j,j
10800,b,b
10801,号,号
10802,布,布
10803,t,t
10804,队,队
10805,a,a
10806,斥,斥
10807,8,8
10808,刊,刊
10809,x,x
10810,切,切
10811,d,d
10812,千,千
10813,申,申
10814,i,i
10815,6,6
10816,十,十
10817,g,g
10818,y,y
10819,午,午
10820,电,电
10821,9,9
10822,h,h
10823,尤,尤
10824,i,i
10825,m,m
10826,白,白
10827,0,0
10828,3,3
10829,丸,丸
10830,认,认
10831,勾,勾
10832,句,句
10833,兄,兄
10834,7,7
10835,k,k
10836,劝,劝
10837,0,0
10838,q,q
10839,f,f
10840,土,土
10841,内,内
10842,b,b
10843,代,代
10844,8,8
10845,下,下
10846,仓,仓
10847,3,3
10848,巨,巨
10849,f,f
10850,们,们
10851,乡,乡
10852,汉,汉
10853,忆,忆
10854,d,d
10855,未,未
10856,t,t
10857,4,4
10858,w,w
10859,不,不
10860,l,l
10861,2,2
10862,务,务
10863,u,u
10864,b,b
10865,片,印
10866,6,6
10867,讨,讨
10868,e,e
10869,k,k
10870,b,b
10871,j,j
10872,刊,刊
10873,1,1
10874,d,d
10875,d,d
10876,4,4
10877,太,太
10878,j,j
10879,石,石
10880,4,4
10881,内,占
10882,9,9
10883,k,k
10884,0,0
10885,半,半
10886,广,广
10887,写,写
10888,分,分
10889,么,么
10890,久,久
10891,h,h
10892,8,8
10893,尺,尺
10894,户,户
10895,礼,礼
10896,z,z
10897,十,十
10898,子,子
10899,m,m
10900,n,n
10901,冬,冬
10902,n,n
10903,汉,汉
10904,鸟,鸟
10905,七,七
10906,5,5
10907,2,2
10908,k,k
10909,瓦,瓦
10910,甩,甩
10911,4,4
10912,化,化
10913,忆,忆
10914,令,令
10915,不,不
10916,己,己
10917,1,1
10918,旦,旦
10919,内,内
10920,毛,毛
10921,7,7
10922,贝,贝
10923,乙,乙
10924,o,o
10925,旧,旧
10926,w,w
10927,p,p
10928,与,与
10929,g,g
10930,予,予
10931,叼,叼
10932,h,h
10933,尤,尤
10934,e,e
10935,2,2
10936,平,平
10937,丰,丰
10938,y,y
10939,头,头
10940,叨,叨
10941,z,z
10942,q,q
10943,为,为
10944,它,它
10945,木,木
10946,h,h
10947,左,左
10948,r,r
10949,土,土
10950,从,从
10951,干,干
10952,5,5
10953,1,1
10954,不,不
10955,犬,犬
10956,引,引
10957,写,写
10958,示,示
10959,d,5
10960,讨,讨
10961,句,句
10962,e,e
10963,i,i
10964,叫,叫
10965,c,c
10966,尤,尤
10967,g,g
10968,f,f
10969,大,大
10970,e,e
10971,气,气
10972,w,w
10973,示,示
10974,井,井
10975,乙,乙
10976,a,a
10977,鸟,鸟
10978,乏,乏
10979,另,另
10980,子,子
10981,未,未
10982,m,m
10983,n,n
10984,匀,匀
10985,h,h
10986,q,q
10987,叼,叼
10988,认,认
10989,火,火
10990,m,m
10991,o,o
10992,川,川
10993,f,f
10994,乌,乌
10995,门,门
10996,由,由
10997,i,i
10998,九,九
10999,左,左
11000,o,o
11001,9,9
11002,允,允
11003,一,一
11004,人,人
11005,u,u
11006,s,s
11007,h,h
11008,王,王
11009,扎,扎
11010,巧,巧
11011,只,只
11012,左,左
11013,务,务
11014,正,正
11015,0,0
11016,仔,仔
11017,c,c
11018,3,3
11019,广,广
11020,0,0
11021,z,z
11022,友,友
11023,y,y
11024,尸,尸
11025,3,3
11026,5,5
11027,于,于
11028,q,q
11029,7,7
11030,方,方
11031,8,8
11032,术,术
11033,轧,轧
11034,7,7
11035,p,p
11036,由,由
11037,扔,扔
11038,扎,扎
11039,山,山
11040,m,m
11041,6,6
11042,末,末
11043,3,3
11044,w,w
11045,亏,亏
11046,平,平
11047,n,n
11048,0,0
11049,q,q
11050,v,v
11051,扑,扑
11052,斗,斗
11053,专,专
11054,勿,勿
11055,牛,牛
11056,凶,凶
11057,夫,夫
11058,g,g
11059,c,c
11060,五,五
11061,水,水
11062,业,业
11063,写,写
11064,半,半
11065,厂,厂
11066,丁,丁
11067,木,木
11068,k,k
11069,s,s
11070,e,e
11071,y,y
11072,禾,禾
11073,办,办
11074,今,今
11075,9,9
11076,兰,兰
11077,大,大
11078,n,n
11079,k,k
11080,示,示
11081,卫,卫
11082,丰,丰
11083,句,句
11084,乐,乐
11085,8,8
11086,内,内
11087,饥,饥
11088,丑,丑
11089,e,e
11090,l,l
11091,禾,禾
11092,w,w
11093,3,3
11094,0,0
11095,川,川
11096,k,k
11097,y,y
11098,t,t
11099,5,5
11100,天,天
11101,用,用
11102,q,q
11103,e,e
11104,丰,丰
11105,叶,叶
11106,门,门
11107,可,可
11108,爪,爪
11109,g,g
11110,c,c
11111,十,十
11112,5,5
11113,本,本
11114,市,市
11115,m,m
11116,6,6
11117,h,h
11118,i,i
11119,m,m
11120,义,义
11121,公,公
11122,仙,仙
11123,h,h
11124,l,l
11125,3,3
11126,子,子
11127,它,它
11128,子,子
11129,z,z
11130,丰,丰
11131,丸,丸
11132,尤,尤
11133,7,7
11134,饥,饥
11135,c,c
11136,令,令
11137,士,士
11138,且,且
11139,代,代
11140,k,k
11141,车,车
11142,父,父
11143,叹,叹
11144,与,与
11145,w,w
11146,z,z
11147,为,为
11148,气,气
11149,仍,仍
11150,v,v
11151,世,世
11152,f,f
11153,卡,卡
11154,叮,叮
11155,千,千
11156,d,d
11157,6,6
11158,扔,扔
11159,3,3
11160,丹,丹
11161,叹,叹
11162,叉,叉
11163,x,x
11164,k,k
11165,z,z
11166,气,气
11167,尸,尸
11168,一,一
11169,汁,汁
11170,口,口
11171,6,6
11172,区,区
11173,y,y
11174,汁,汁
11175,巾,巾
11176,i,i
11177,m,m
11178,8,8
11179,叉,叉
11180,u,u
11181,宁,宁
11182,l,l
11183,巧,巧
11184,m,m
11185,介,介
11186,e,e
11187,人,人
11188,q,q
11189,f,f
11190,冬,冬
11191,q,q
11192,2,2
11193,且,且
11194,凶,凶
11195,p,p
11196,长,长
11197,w,w
11198,令,令
11199,t,t
11200,仓,仓
11201,q,q
11202,n,n
11203,己,己
11204,l,l
11205,才,才
11206,t,t
11207,今,今
11208,u,u
11209,主,王
11210,k,k
11211,2,2
11212,六,六
11213,爪,爪
11214,u,u
11215,g,g
11216,示,示
11217,句,句
11218,仪,仪
11219,扔,扔
11220,乙,乙
11221,汁,汁
11222,5,5
11223,q,q
11224,世,世
11225,b,b
11226,w,w
11227,汉,汉
11228,亏,亏
11229,o,o
11230,6,6
11231,义,义
11232,d,d
11233,9,9
11234,寸,寸
11235,u,u
11236,9,9
11237,汁,汁
11238,0,0
11239,6,6
11240,g,g
11241,w,w
11242,又,又
11243,义,义
11244,z,z
11245,t,t
11246,仓,仓
11247,y,y
11248,仆,仆
11249,凡,凡
11250,七,七
11251,f,f
11252,也,也
11253,亏,亏
11254,欠,欠
11255,u,u
11256,四,四
11257,仍,仍
11258,乃,乃
11259,9,9
11260,0,0
11261,史,史
11262,仁,仁
11263,申,申
11264,7,7
11265,又,又
11266,o,o
11267,引,引
11268,队,队
11269,x,x
11270,4,4
11271,6,6
11272,冈,冈
11273,e,e
11274,6,6
11275,又,又
11276,布,布
11277,2,2
11278,又,又
11279,h,h
11280,h,h
11281,打,打
11282,山,山
11283,月,月
11284,末,末
11285,支,文
11286,w,w
11287,少,少
11288,与,与
11289,斤,斤
11290,开,开
11291,斤,斤
11292,y,y
11293,j,j
11294,父,父
11295,日,日
11296,x,x
11297,q,q
11298,宁,宁
11299,u,u
11300,业,业
11301,q,q
11302,饥,饥
11303,双,双
11304,9,9
11305,丰,丰
11306,c,c
11307,u,u
11308,f,f
11309,3,3
11310,白,白
11311,处,处
11312,父,父
11313,r,r
11314,兄,兄
11315,仔,仔
11316,父,父
11317,久,久
11318,付,付
11319,本,本
11320,仓,仓
11321,叮,叮
11322,b,b
11323,7,7
11324,o,o
11325,b,b
11326,y,y
11327,土,土
11328,占,占
11329,才,才
11330,不,不
11331,叨,叨
11332,6,6
11333,讨,讨
11334,北,北
11335,尺,尺
11336,犬,犬
11337,x,x
11338,屯,屯
11339,斤,斤
11340,厉,厉
11341,反,反
11342,g,g
11343,犯,犯
11344,刀,刀
11345,9,9
11346,犬,犬
11347,一,一
11348,2,2
11349,r,r
11350,y,y
11351,广,广
11352,6,6
11353,勺,勺
11354,k,k
11355,仪,仪
11356,册,册
11357,6,6
11358,勺,勺
11359,匀,匀
11360,d,d
11361,e,e
11362,4,4
11363,c,c
11364,f,f
11365,r,r
11366,y,y
11367,王,玉
11368,n,n
11369,山,山
11370,大,大
11371,c,c
11372,山,山
11373,车,车
11374,于,于
11375,9,9
11376,6,6
11377,又,又
11378,0,0
11379,户,户
11380,2,2
11381,仓,仓
11382,让,让
11383,d,d
11384,五,五
11385,击,击
11386,9,9
11387,匀,匀
11388,瓦,瓦
11389,5,5
11390,f,f
11391,q,q
11392,无,天
11393,k,k
11394,1,1
11395,w,w
11396,e,e
11397,y,y
11398,切,切
11399,8,8
11400,未,未
11401,4,4
11402,h,h
11403,夫,夫
11404,z,z
11405,代,代
11406,旦,旦
11407,3,3
11408,2,2
11409,于,于
11410,e,e
11411,2,2
11412,专,专
11413,b,b
11414,1,1
11415,m,m
11416,2,2
11417,月,月
11418,什,什
11419,令,令
11420,0,0
11421,扒,扒
11422,白,白
11423,d,d
11424,毛,毛
11425,i,i
11426,车,车
11427,l,l
11428,丁,丁
11429,犯,犯
11430,q,q
11431,叉,叉
11432,小,小
11433,几,几
11434,飞,飞
11435,八,八
11436,介,介
11437,灭,灭
11438,2,2
11439,乎,乎
11440,c,c
11441,匀,匀
11442,止,止
11443,立,立
11444,包,包
11445,y,y
11446,主,主
11447,及,及
11448,巧,巧
11449,田,田
11450,冈,冈
11451,办,办
11452,v,v
11453,3,3
11454,无,无
11455,v,v
11456,比,比
11457,x,x
11458,匀,匀
11459,汁,汁
11460,x,x
11461,y,y
11462,仇,仇
11463,z,z
11464,7,7
11465,o,o
11466,石,石
11467,6,6
11468,去,去
11469,p,p
11470,士,士
11471,句,句
11472,5,5
11473,夕,夕
11474,丁,丁
11475,b,b
11476,山,山
11477,5,5
11478,什,什
11479,队,队
11480,毛,毛
11481,为,为
11482,处,处
11483,e,e
11484,f,f
11485,丹,丹
11486,只,只
11487,生,生
11488,订,订
11489,北,北
11490,区,区
11491,b,b
11492,w,w
11493,5,5
11494,少,少
11495,f,f
11496,二,二
11497,氏,氏
11498,g,g
11499,印,印
11500,允,允
11501,g,g
11502,n,n
11503,v,v
11504,电,电
11505,j,j
11506,冈,冈
11507,h,h
11508,6,6
11509,0,0
11510,s,s
11511,止,止
11512,夕,夕
11513,仍,仍
11514,2,2
11515,1,1
11516,3,3
11517,乐,乐
11518,b,b
11519,o,o
11520,斗,斗
11521,1,1
11522,父,父
11523,5,5
11524,之,之
11525,0,0
11526,且,且
11527,q,q
11528,牙,牙
11529,y,y
11530,h,h
11531,仍,仍
11532,i,i
11533,t,t
11534,y,y
11535,友,友
11536,m,m
11537,2,2
11538,友,友
11539,山,山
11540,平,平
11541,示,示
11542,d,d
11543,叉,叉
11544,厅,厅
11545,由,由
11546,4,4
11547,2,2
11548,五,五
11549,订,订
11550,厉,厉
11551,r,r
11552,儿,儿
11553,p,p
11554,兰,兰
11555,乞,乞
11556,e,e
11557,切,切
11558,m,m
11559,2,2
11560,5,5
11561,仪,仪
11562,帅,帅
11563,处,处
11564,t,t
11565,4,4
11566,h,h
11567,v,v
11568,十,十
11569,7,7
11570,旦,旦
11571,亿,亿
11572,n,n
11573,甩,甩
11574,l,l
11575,白,白
11576,u,u
11577,j,j
11578,丙,丙
11579,b,b
11580,央,央
11581,市,市
11582,r,r
11583,才,才
11584,2,2
11585,x,x
11586,t,t
11587,g,g
11588,l,l
11589,m,m
11590,z,z
11591,平,平
11592,c,c
11593,义,义
11594,u,u
11595,仇,仇
11596,6,6
11597,l,l
11598,r,r
11599,二,二
11600,d,d
11601,切,切
11602,n,n
11603,m,m
11604,p,p
11605,6,6
11606,欠,欠
11607,仙,仙
11608,六,六
11609,n,n
11610,l,l
11611,凡,凡
11612,犯,犯
11613,三,三
11614,毛,毛
11615,斥,斥
11616,石,石
11617,5,5
11618,q,q
11619,办,办
11620,以,以
11621,7,7
11622,3,3
11623,乎,乎
11624,认,认
11625,u,u
11626,1,1
11627,丑,丑
11628,u,u
11629,斤,斤
11630,队,队
11631,少,少
11632,1,1
11633,t,t
11634,d,d
11635,凤,凤
11636,与,与
11637,叶,叶
11638,j,j
11639,叼,叼
11640,月,月
11641,穴,穴
11642,u,u
11643,六,六
11644,广,广
11645,长,长
11646,l,l
11647,业,业
11648,k,k
11649,n,n
11650,m,m
11651,以,以
11652,不,不
11653,二,二
11654,c,c
11655,头,头
11656,厅,厅
11657,汁,汁
11658,2,2
11659,斗,斗
11660,不,不
11661,x,x
11662,b,b
11663,1,1
11664,分,分
11665,仙,仙
11666,刃,刃
11667,6,6
11668,令,令
11669,c,c
11670,h,h
11671,川,川
11672,i,i
11673,太,太
11674,h,h
11675,书,书
11676,外,外
11677,k,k
11678,o,o
11679,a,a
11680,2,2
11681,尺,尺
11682,p,p
11683,x,x
11684,义,义
11685,穴,穴
11686,n,n
11687,u,u
11688,仅,仅
11689,p,p
11690,b,b
11691,兰,兰
11692,n,n
11693,专,专
11694,0,0
11695,犬,犬
11696,了,了
11697,8,8
11698,止,止
11699,瓦,瓦
11700,长,长
11701,厉,厉
11702,丙,丙
11703,l,l
11704,乃,乃
11705,n,n
11706,今,今
11707,k,k
11708,s,s
11709,s,s
11710,n,n
11711,u,u
11712,义,义
11713,卜,卜
11714,友,友
11715,干,干
11716,火,火
11717,才,才
11718,下,下
11719,旧,旧
11720,g,g
11721,女,女
11722,末,末
11723,飞,飞
11724,v,v
11725,失,失
11726,史,史
11727,叨,叨
11728,z,z
11729,q,q
11730,土,土
11731,习,习
11732,入,入
11733,n,n
11734,仔,仔
11735,m,m
11736,e,e
11737,牙,牙
11738,7,7
11739,申,申
11740,凡,凡
11741,扎,扎
11742,o,o
11743,o,o
11744,爪,爪
11745,8,8
11746,u,u
11747,2,2
11748,9,9
11749,7,7
11750,9,9
11751,v,v
11752,6,6
11753,0,0
11754,升,升
11755,g,g
11756,4,4
11757,e,e
11758,兄,兄
11759,外,外
11760,月,月
11761,t,t
11762,儿,儿
11763,几,几
11764,x,x
11765,个,个
11766,2,2
11767,己,己
11768,p,p
11769,目,目
11770,e,e
11771,6,6
11772,仙,仙
11773,刀,刀
11774,w,w
11775,厂,厂
11776,忆,忆
11777,令,令
11778,且,且
11779,l,l
11780,正,正
11781,功,功
11782,丁,丁
11783,d,d
11784,包,包
11785,d,d
11786,冬,冬
11787,币,币
11788,j,j
11789,h,h
11790,示,示
11791,7,7
11792,叮,叮
11793,丁,丁
11794,o,o
11795,e,e
11796,厉,历
11797,g,g
11798,v,v
11799,乃,乃
11800,主,主
11801,a,a
11802,p,p
11803,叹,叹
11804,4,4
11805,句,句
11806,叹,叹
11807,九,九
11808,a,a
11809,兄,兄
11810,币,币
11811,引,引
11812,计,计
11813,允,允
11814,x,x
11815,专,专
11816,k,k
11817,古,古
11818,y,y
11819,匹,匹
11820,u,u
11821,刃,刃
11822,厂,厂
11823,中,中
11824,b,b
11825,扒,扒
11826,末,末
11827,t,t
11828,z,z
11829,白,白
11830,x,x
11831,末,末
11832,a,a
11833,x,x
11834,y,y
11835,九,九
11836,n,n
11837,卡,卡
11838,牙,牙
11839,比,比
11840,p,p
11841,三,三
11842,d,d
11843,m,m
11844,冈,冈
11845,k,k
11846,闪,闪
11847,尺,尺
11848,y,y
11849,代,代
11850,i,i
11851,p,p
11852,飞,飞
11853,正,正
11854,u,u
11855,目,目
11856,分,分
11857,d,d
11858,以,以
11859,勺,勺
11860,x,x
11861,8,8
11862,汇,汇
11863,友,友
11864,k,k
11865,5,5
11866,万,万
11867,禾,禾
11868,3,3
11869,印,印
11870,乞,乞
11871,马,马
11872,z,z
11873,n,n
11874,乞,乞
11875,x,x
11876,s,s
11877,n,n
11878,y,y
11879,午,午
11880,计,计
11881,车,车
11882,w,w
11883,们,们
11884,仙,仙
11885,写,写
11886,g,g
11887,户,户
11888,b,b
11889,专,专
11890,7,7
11891,u,u
11892,i,i
11893,汉,汉
11894,未,未
11895,f,f
11896,犬,犬
11897,f,f
11898,仓,仓
11899,巧,巧
11900,午,午
11901,工,工
11902,天,天
11903,j,j
11904,m,m
11905,他,他
11906,乃,乃
11907,9,9
11908,牙,牙
11909,x,x
11910,广,广
11911,厉,厉
11912,u,u
11913,千,千
11914,玉,玉
11915,u,u
11916,叮,叮
11917,么,么
11918,今,今
11919,平,平
11920,e,e
11921,g,g
11922,g,g
11923,w,w
11924,乎,乎
11925,已,已
11926,屯,屯
11927,5,5
11928,才,才
11929,龙,龙
11930,x,x
11931,c,c
11932,2,2
11933,5,5
11934,x,x
11935,r,r
11936,双,双
11937,兰,兰
11938,印,印
11939,叨,叨
11940,中,中
11941,刃,刃
11942,忆,忆
11943,q,q
11944,n,n
11945,b,b
11946,女,女
11947,x,x
11948,9,9
11949,p,p
11950,6,6
11951,z,z
11952,8,8
11953,尸,尸
11954,帅,帅
11955,开,开
11956,y,y
11957,及,及
11958,叫,叫
11959,另,另
11960,2,2
11961,用,用
11962,7,7
11963,i,i
11964,4,4
11965,b,b
11966,0,0
11967,w,w
11968,己,己
11969,也,也
11970,力,力
11971,去,去
11972,f,f
11973,g,g
11974,反,反
11975,6,6
11976,由,由
11977,f,f
11978,万,万
11979,穴,穴
11980,六,六
11981,甩,甩
11982,六,六
11983,左,左
11984,风,风
11985,未,未
11986,t,t
11987,气,气
11988,0,0
11989,升,升
11990,9,9
11991,么,么
11992,气,气
11993,九,九
11994,5,5
11995,尸,尸
11996,g,g
11997,s,s
11998,9,9
11999,刊,刊
12000,匆,匆
12001,士,士
12002,仗,仗
12003,电,电
12004,9,9
12005,及,及
12006,计,计
12007,k,k
12008,n,n
12009,七,七
12010,b,b
12011,e,e
12012,b,b
12013,9,9
12014,亡,亡
12015,可,可
12016,u,u
12017,训,训
12018,它,它
12019,m,m
12020,z,z
12021,己,己
12022,f,f
12023,天,天
12024,8,8
12025,d,d
12026,o,o
12027,生,生
12028,仔,仔
12029,丸,丸
12030,王,王
12031,三,三
12032,犬,犬
12033,巨,巨
12034,王,王
12035,申,申
12036,v,v
12037,卫,卫
12038,已,已
12039,于,于
12040,o,o
12041,5,5
12042,反,反
12043,丁,丁
12044,8,8
12045,士,士
12046,本,本
12047,y,y
12048,q,q
12049,n,n
12050,市,市
12051,用,用
12052,9,9
12053,厅,厅
12054,a,a
12055,央,央
12056,3,3
12057,们,们
12058,z,z
12059,令,令
12060,6,6
12061,叮,叮
12062,r,r
12063,6,6
12064,巨,巨
12065,巨,巨
12066,力,力
12067,牛,牛
12068,乞,乞
12069,玉,玉
12070,k,k
12071,x,x
12072,本,本
12073,厉,厉
12074,q,q
12075,头,头
12076,处,处
12077,e,e
12078,3,3
12079,八,八
12080,归,归
12081,见,见
12082,汇,汇
12083,h,h
12084,卫,卫
12085,z,z
12086,闪,闪
12087,w,w
12088,h,h
12089,王,王
12090,2,2
12091,e,e
12092,o,o
12093,u,u
12094,立,立
12095,半,半
12096,q,q
12097,1,1
12098,忆,忆
12099,马,马
12100,l,l
12101,i,i
12102,仓,仓
12103,寸,寸
12104,天,天
12105,仆,仆
12106,s,s
12107,k,k
12108,叉,叉
12109,入,入
12110,仇,仇
12111,允,允
12112,马,马
12113,4,4
12114,央,央
12115,o,o
12116,m,m
12117,专,专
12118,止,止
12119,3,3
12120,n,n
12121,它,它
12122,q,q
12123,v,v
12124,r,r
12125,x,x
12126,刃,刃
12127,m,m
12128,八,八
12129,术,术
12130,3,3
12131,干,干
12132,7,7
12133,刃,刃
12134,q,q
12135,平,平
12136,示,示
12137,中,中
12138,7,7
12139,击,击
12140,四,四
12141,r,r
12142,a,a
12143,g,g
12144,t,t
12145,外,外
12146,二,二
12147,友,友
12148,f,f
12149,l,l
12150,9,9
12151,n,n
12152,m,m
12153,尺,尺
12154,习,习
12155,f,f
12156,屯,屯
12157,s,s
12158,务,务
12159,予,予
12160,7,7
12161,大,大
12162,叮,叮
12163,上,上
12164,义,义
